,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
481,16.7860518258,45507718.9993,45.5077189993,0.715369225948,0.554445187409,1.65789130651,0.284630774052,225920.303116,0.754368606822,0.9092333205,9156595.13712,99021.0073923,16728843.2563,0.873609460157,0.428810635275,0.588525810162,0.117777465933,0.329592902038,0.489570155325,worst_case_rcp45_2016-2045 (dry)
482,14.3474750741,32404443.3024,32.4044433024,0.755684299291,0.553563117581,1.56656390857,0.244315700709,188212.229765,0.758155338385,1.10539325713,6070145.13418,99021.0073923,16260416.1093,0.867402949246,0.40156281713,0.550470198227,0.140707991183,0.313655423007,0.471145957863,worst_case_rcp45_2016-2045 (dry)
483,14.0807143023,50237152.3795,50.2371523795,0.65609205095,0.585336295944,1017.98515185,0.34390794905,297316.547662,1.31744602165,0.703661313919,22513914.6522,99021.0073923,32107772.232,0.852520520572,0.384835261484,0.530140044652,0.0912412991973,0.30920268084,0.405363955692,worst_case_rcp45_2016-2045 (dry)
484,13.6887340334,47931384.1753,47.9313841753,0.67742591935,0.581525843004,1.53875986605,0.32257408065,291793.383148,1.43086459574,0.71412473778,21657623.2318,99021.0073923,33986341.921,0.84669958647,0.430628847845,0.597929774711,0.369797860192,0.326782719189,0.390988246352,worst_case_rcp45_2016-2045 (dry)
485,12.9097001017,33140433.4249,33.1404334249,0.765340830735,0.560395702739,1.2198175179,0.234659169265,213924.627502,1.05218813318,1.06846789713,12049497.9439,99021.0073923,17716537.3318,0.861586911183,0.475010148163,0.663114809553,0.449463194376,0.335588214039,0.462541982879,worst_case_rcp45_2016-2045 (dry)
486,14.1607427158,43674724.2026,43.6747242026,0.743101654748,0.559876098513,1.8848904048,0.256898345252,257017.617173,1.35840899155,0.860483081065,18336764.2444,99021.0073923,23734146.948,0.849220505425,0.402425411001,0.551890941073,0.137925840174,0.316088897828,0.437084195383,worst_case_rcp45_2016-2045 (dry)
487,,19980665.7363,19.9806657363,1.0,0.509747867279,0.0,0.0,0.0,0.0,1.77857850636,0.0,99021.0073923,0.0,0.931095915851,0.5,0.666666666667,0.813075969636,0.47153051257,0.637932236441,worst_case_rcp45_2016-2045 (dry)
488,17.4093797308,43701393.1655,43.7013931655,0.738467860201,0.549620151344,1.42203932021,0.261532139799,209185.095627,0.70459164734,0.957619770117,6349198.59793,99021.0073923,15866123.8588,0.880357124988,0.445123807591,0.613422637169,0.370412491901,0.319110386955,0.497279421456,worst_case_rcp45_2016-2045 (dry)
489,16.0205355052,41352368.9596,41.3523689596,0.766749078891,0.546377208721,1.19204553719,0.233250921109,215100.84638,0.915124774952,0.963365279215,9459715.93691,99021.0073923,16273481.0388,0.879375064678,0.435212434883,0.598132737974,0.348151495802,0.31790130629,0.497578345414,worst_case_rcp45_2016-2045 (dry)
490,22.7866874991,36953888.3743,36.9538883743,0.850341554223,0.541908341433,1.13539694491,0.149658445777,135144.289751,0.906043890335,1.07471912985,5618307.53618,99021.0073923,10728785.3631,0.878088172855,0.46929334957,0.648805899466,0.421453997425,0.331527629511,0.48325326007,worst_case_rcp45_2016-2045 (dry)
491,16.2603580304,40579393.6538,40.5793936538,0.768125208526,0.549357298451,1.1244992055,0.231874791474,207966.892948,0.861053311961,1.00334066195,8806596.38764,99021.0073923,15263267.9089,0.880912773612,0.44588491983,0.615824369123,0.383793081639,0.323687905505,0.496096128192,worst_case_rcp45_2016-2045 (dry)
492,15.4058043662,44512684.2851,44.5126842851,0.723140966678,0.570435569386,2.27971477793,0.276859033322,240778.752535,1.56340622774,0.754721157189,18130851.418,99021.0073923,34051134.0632,0.847507795776,0.38724545024,0.537345240511,0.137248811364,0.304709292421,0.392662707242,worst_case_rcp45_2016-2045 (dry)
493,256.055239804,19140206.7413,19.1402067413,0.994129832202,0.502533686443,0.0671071021685,0.00587016779797,6229.19191056,0.256862789116,1.86458102405,67507.7318668,99021.0073923,114270.4576,0.922436478818,0.5,0.666666666667,0.765111631514,0.463373617115,0.619206120731,worst_case_rcp45_2016-2045 (dry)
494,16.7819084446,42851834.7519,42.8518347519,0.74193996271,0.551511671895,1017.04961888,0.25806003729,212787.850745,0.776424845002,0.980842339175,8837962.29888,99021.0073923,15317215.7785,0.879965112946,0.396328056288,0.542081049997,0.0645793106684,0.310239959358,0.490545057737,worst_case_rcp45_2016-2045 (dry)
495,30.1140730247,24321444.1913,24.3214441913,0.898982124894,0.522410558391,1.11888638626,0.101017875106,67303.6495024,0.883770806715,1.491942707,3696152.24001,99021.0073923,7066714.03529,0.884748961395,0.470037548204,0.651782693999,0.406348193501,0.344784560033,0.507277281344,worst_case_rcp45_2016-2045 (dry)
496,17.2713544765,40673257.6648,40.6732576648,0.753055608211,0.546638989987,1.45440983166,0.246944391789,196246.226278,0.671324671215,1.03166804694,5397352.52137,99021.0073923,14588461.3847,0.877605217461,0.398476084162,0.555273662134,0.344196289243,0.310848934673,0.494214965116,worst_case_rcp45_2016-2045 (dry)
497,16.3196119948,33299449.8202,33.2994498202,0.868909997934,0.515565622599,0.904362180062,0.131090002066,170037.997998,1.51426077258,1.08385655233,9650447.45363,99021.0073923,14280522.7531,0.88069769878,0.482849604222,0.666666666667,0.482785832872,0.333934130356,0.4823913294,worst_case_rcp45_2016-2045 (dry)
498,16.3015303609,43740758.6285,43.7407586285,0.756711119704,0.550801844428,1017.07866542,0.243288880296,223602.516962,0.772928452123,0.910179476495,6592026.49823,99021.0073923,16077978.599,0.876683145137,0.374002097287,0.516642987619,0.118189840273,0.301918592876,0.499774684737,worst_case_rcp45_2016-2045 (dry)
499,16.0007141599,47411805.7217,47.4118057217,0.687429135184,0.577330746603,2.75977921639,0.312570864816,246925.466618,1.32186062241,0.732113744048,17142532.9325,99021.0073923,32668348.1144,0.850452781551,0.398476084162,0.552161558758,0.142211838799,0.304453720966,0.405760540875,worst_case_rcp45_2016-2045 (dry)
500,16.280512642,31874255.1953,31.8742551953,0.82104651687,0.555270605082,1.48731410744,0.17895348313,163151.369453,1.56196981817,1.02437122577,13532806.2325,99021.0073923,20165095.3433,0.850674120686,0.485116027332,0.666666666667,0.486234876711,0.339089008468,0.397645773413,worst_case_rcp45_2016-2045 (dry)
501,15.7898300569,44387923.6826,44.3879236826,0.735631874568,0.576364318293,1.50009256782,0.264368125432,234264.309805,1.64655029718,0.732607063818,20916174.964,99021.0073923,31561448.2556,0.848893287715,0.493200730668,0.666666666667,0.51436375247,0.340950943178,0.397799663225,worst_case_rcp45_2016-2045 (dry)
502,13.7147446479,50642431.6932,50.6424316932,0.63691509949,0.587420577013,1017.82663311,0.36308490051,307712.811972,1.28363649907,0.662807766664,21168823.7263,99021.0073923,35018753.9716,0.836725149506,0.376285434003,0.520397807997,0.103639569337,0.299680378687,0.360533006897,worst_case_rcp45_2016-2045 (dry)
503,18.9231969887,46960734.9016,46.9607349016,0.744414061174,0.585061111445,1.49715242524,0.255585938826,206804.092219,0.904984173995,0.698199210543,9234581.31272,99021.0073923,18650248.9704,0.875895148827,0.46437994723,0.648399972938,0.451576467606,0.322999874176,0.479917926351,worst_case_rcp45_2016-2045 (dry)
504,20.5992700113,40471426.5419,40.4714265419,0.803488882396,0.536770702596,1017.07512049,0.196511117604,163725.164855,1.00172578389,1.00315476319,7665724.86007,99021.0073923,16065821.7103,0.876596750225,0.350356877072,0.486029362019,0.0656088372352,0.299520566111,0.492062327846,worst_case_rcp45_2016-2045 (dry)
505,11.9467245035,46033755.3744,46.0337553744,0.688212695078,0.574167180005,2.44292014285,0.311787304922,321104.439973,1.44114121341,0.660449089808,17698891.4265,99021.0073923,36470633.9043,0.849176953123,0.396514105947,0.547764021379,0.149506511817,0.313255536444,0.397327268138,worst_case_rcp45_2016-2045 (dry)
506,19.4185764021,28654688.543,28.654688543,0.84156483414,0.534509138734,1016.78689327,0.15843516586,122969.401179,0.657978778465,1.34747445838,5256710.2199,99021.0073923,7310924.0365,0.87856215747,0.333011974833,0.464752046546,-0.0958515606734,0.299490159811,0.502527264507,worst_case_rcp45_2016-2045 (dry)
507,13.3171108121,52079843.5988,52.0798435988,0.64633420379,0.587445881367,1017.93133145,0.35366579621,325895.536036,1.28642940001,0.599773463949,18230317.1385,99021.0073923,36618729.2108,0.85162101932,0.370974561938,0.514038292402,0.127284828743,0.297565810137,0.391148318325,worst_case_rcp45_2016-2045 (dry)
