,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_norm_dist,gw_trigger_proposed_rules,gw_trigger_current_rules,Ecology Index,Recreation Index
295,13.6919619682,47425023.1742,47.4250231742,0.660701660669,0.583506233937,1.68824328053,0.339298339331,288642.728756,1.3453442732,0.703032490726,21018890.8883,99021.0073923,34011833.8333,70.5225169498,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811305649
296,13.6919619682,47425023.1742,47.4250231742,0.660701660669,0.583506233937,1.68824328053,0.339298339331,288642.728756,1.3453442732,0.703032490726,21018890.8883,99021.0073923,34011833.8333,70.5225169498,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811305649
297,13.6782564284,47377550.8944,47.3775508944,0.661194281265,0.58385017185,1.66116110163,0.338805718735,288642.727374,1.35809452507,0.703652891233,21258073.9149,99021.0073923,34213539.089,70.5225174201,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811324759
298,13.7962926001,47785641.474,47.785641474,0.658567938979,0.585143693075,1.7048145534,0.341432061021,288638.180192,1.32705627669,0.698073510479,21058129.7285,99021.0073923,33565895.9911,70.5175297435,0.394985743583,0.625295988093,0.452210608213,0.322091499001,0.394728964056
299,37.1580653255,23553044.0437,23.5530440437,0.928408881233,0.527027986894,0.951290545429,0.0715911187669,52821.7401287,1.14920530526,1.53164177918,2685297.46725,99021.0073923,7233221.66344,69.3488361828,0.477464711343,0.666666666667,0.47219403288,0.364389860409,0.449575775006
300,13.6615854556,47321822.6957,47.3218226957,0.66109133522,0.582969744951,1.68373485939,0.33890866478,288655.020126,1.3520472991,0.704476064222,21067351.8406,99021.0073923,34174041.1273,70.5177805362,0.394689449197,0.625329815303,0.452227521819,0.322225697342,0.394327164378
301,13.6620067702,47321259.9058,47.3212599058,0.661298225462,0.582037699113,1.67571453581,0.338701774538,288642.685648,1.36451415579,0.704386415373,21423058.0392,99021.0073923,34293667.0186,70.5226993275,0.393393514713,0.624788579934,0.451356471145,0.320980120445,0.394801258708
302,13.6919619682,47425023.1742,47.4250231742,0.660701660669,0.583506233937,1.68824328053,0.339298339331,288642.728756,1.3453442732,0.703032490726,21018890.8883,99021.0073923,34011833.8333,70.5225169498,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811305649
303,13.6919619682,47425023.1742,47.4250231742,0.660701660669,0.583506233937,1.68824328053,0.339298339331,288642.728756,1.3453442732,0.703032490726,21018890.8883,99021.0073923,34011833.8333,70.5225169498,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811305649
304,13.6919619682,47425023.1742,47.4250231742,0.660701660669,0.583506233937,1.68824328053,0.339298339331,288642.728756,1.3453442732,0.703032490726,21018890.8883,99021.0073923,34011833.8333,70.5225169498,0.394999538958,0.625295988093,0.452210608213,0.322196274445,0.394811305649
