,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index
19,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
20,23.38660184,67816660.2986,67.8166602986,0.743665154981,0.574671530783,1.33088499053,0.256334845019,241650.685161,0.890921286032,0.519480370371,7087782.68587,129436.477156,20444171.9548,0.989040866887,0.367481902442,0.507746431229,0.123601301832,0.485129595016,0.727749744986
21,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
22,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
23,23.3212811659,67764709.47,67.76470947,0.743665154981,0.574148874502,1.41440879725,0.256334845019,242141.891019,0.893811491474,0.520246587462,7087782.68587,129436.477156,20533487.3706,0.981519620234,0.368378323523,0.509133346864,0.125625024293,0.486485492291,0.720958427162
24,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
25,23.4084801479,67836090.0086,67.8360900086,0.743665154981,0.574895376653,1.31574036579,0.256334845019,241493.999824,0.889016911841,0.519204253587,7087782.68587,129436.477156,20385321.4764,0.99116271951,0.367456532034,0.507678776808,0.130201613452,0.484063827671,0.73092899114
26,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
27,23.3887998059,67818417.4716,67.8184174716,0.743665154981,0.574714190625,1.32927640733,0.256334845019,241634.236738,0.890389114134,0.519455279709,7087782.68587,129436.477156,20427726.3576,0.989231856403,0.368581286787,0.50943779176,0.135692045394,0.490322602442,0.727997674925
28,23.3920252651,67814362.9415,67.8143629415,0.743665154981,0.574684206459,1.33388399316,0.256334845019,241586.474354,0.890461403034,0.519513176061,7072467.74642,129436.477156,20445275.2259,0.988787173821,0.362027264732,0.498105676206,0.101950943201,0.482460135085,0.727453270971
29,23.3872386509,67817350.4559,67.8173504559,0.743665154981,0.574677881722,1.33021015531,0.256334845019,241646.564423,0.89092850079,0.519470515347,7087782.68587,129436.477156,20444394.9109,0.989116185511,0.368369866721,0.508998038022,0.127876277427,0.486002209182,0.727871666116
30,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
31,23.3921623161,67820947.3303,67.8209473303,0.743665154981,0.574761677862,1.32710373085,0.256334845019,241608.515471,0.89029440956,0.519419214646,7087782.68587,129436.477156,20424799.7219,0.989509029298,0.364615046343,0.503145930587,0.110551950744,0.482979921109,0.728393661047
32,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
33,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
34,23.3385037723,67677208.0878,67.6772080878,0.745769614385,0.574477973638,1.30980914581,0.254230385615,241650.767147,0.897350035662,0.518860300636,7174869.71016,129436.477156,20328088.215,0.989042223208,0.368310669102,0.509031865232,0.127399497901,0.486378485952,0.727778678663
35,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
36,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
37,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
38,23.4613080576,68030406.8679,68.0304068679,0.741860338092,0.575549233838,1.35009830614,0.258139661908,241640.43021,0.873067058835,0.5193946072,7006026.22529,129436.477156,20164146.7413,0.988739890241,0.368598200392,0.50947161897,0.131030884476,0.487635884965,0.727200502785
39,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
40,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
41,34.4399311638,64046179.9825,64.0461799825,0.827834445053,0.57651714932,1.15633659246,0.172165554947,154970.741371,0.959039069523,0.530926427617,5860040.73764,129436.477156,14045438.1583,0.990480573265,0.355507069887,0.487145659969,0.0646430169217,0.474328680636,0.732633602708
42,23.3866025238,67816659.1421,67.8166591421,0.743665154981,0.574671520595,1.33089034559,0.256334845019,241650.673974,0.890921191654,0.519480382856,7087782.68587,129436.477156,20444169.0382,0.989040261004,0.367481902442,0.507746431229,0.123601301832,0.485254059639,0.727764693297
